"样例编号","样例文件名","触发位置边界证据","资源所处状态证据","隔离跨越度证据_FFI_ABI边界","隔离跨越度证据_线程或任务边界","隔离跨越度证据_安全封装边界","表层后果证据","证据来源"
"EX001","examples__c-in-rust-doublefree","跨语言调用链","已初始化|共享持有","是","否","是","Double Free","MIR"
"EX002","examples__c-in-rust-memleak","跨语言调用链","已初始化|共享持有","是","否","是","资源泄漏","MIR"
"EX003","examples__c-in-rust-uaf","跨语言调用链","已初始化|共享持有","是","否","是","Use-After-Free","代码片段"
"EX004","examples__cstring-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","代码片段"
"EX005","examples__ffi-simplest","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","接口签名"
"EX006","examples__function-pointer-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","代码片段"
"EX007","examples__mix-box-free","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","AST"
"EX008","examples__mix-mem-allocator","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","接口签名"
"EX009","examples__rc-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","MIR"
"EX010","examples__return-value-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","代码片段"
"EX011","examples__rust-in-c-uaf","跨语言调用链","已初始化|共享持有","是","否","是","Use-After-Free","日志"
"EX012","examples__rust-uaf-df","跨语言调用链","已初始化|共享持有","是","否","是","Double Free","接口签名"
"EX013","examples__side-effects-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","接口签名"
"EX014","examples__string-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","MIR"
"EX015","examples__vec-test","跨语言调用链","已初始化|共享持有","是","否","是","状态失控","AST"
"EX016","tests__safe-bugs__division-by-zero","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX017","tests__safe-bugs__incorrect-boundary-check","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX018","tests__safe-bugs__incorrect-cast","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX019","tests__safe-bugs__integer-overflow","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX020","tests__safe-bugs__out-of-bound-index","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX021","tests__safe-bugs__unreachable","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX022","tests__unit-tests__alloc-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX023","tests__unit-tests__annotation","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX024","tests__unit-tests__arith","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX025","tests__unit-tests__array","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX026","tests__unit-tests__assignment","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","MIR"
"EX027","tests__unit-tests__big-loop","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","MIR"
"EX028","tests__unit-tests__cast","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX029","tests__unit-tests__crate-bin-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","AST"
"EX030","tests__unit-tests__crate-lib-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","MIR"
"EX031","tests__unit-tests__empty","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","MIR"
"EX032","tests__unit-tests__enum-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX033","tests__unit-tests__function-call","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX034","tests__unit-tests__index","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX035","tests__unit-tests__input-type","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX036","tests__unit-tests__iterator","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX037","tests__unit-tests__loop-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","AST"
"EX038","tests__unit-tests__method-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX039","tests__unit-tests__negation","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX040","tests__unit-tests__recursion","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX041","tests__unit-tests__size-of","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX042","tests__unit-tests__struct-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX043","tests__unit-tests__vector","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX044","tests__unit-tests__widen-narrow","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX045","tests__unsafe-bugs__double-free","析构阶段","待析构|共享持有","否","否","是","Double Free","日志"
"EX046","tests__unsafe-bugs__gmath","并发状态迁移","状态迁移中|共享持有","否","否","是","状态失控","代码片段"
"EX047","tests__unsafe-bugs__offset","并发状态迁移","状态迁移中|共享持有","否","否","是","状态失控","AST"
"EX048","tests__unsafe-bugs__spglib-rs","并发状态迁移","状态迁移中|共享持有","否","否","是","状态失控","接口签名"
"EX049","tests__unsafe-bugs__use-after-free(CVE-2019-15551)","并发状态迁移","状态迁移中|共享持有","否","否","是","Use-After-Free","MIR"
"EX050","tests__unsafe-bugs__use-after-free(CVE-2019-16140)","并发状态迁移","状态迁移中|共享持有","否","否","是","Use-After-Free","接口签名"
"EX051","trophy-case__bitvec-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX052","trophy-case__brotli-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX053","trophy-case__brotli-test2","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","MIR"
"EX054","trophy-case__brotli-test3","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX055","trophy-case__bytemuck-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","AST"
"EX056","trophy-case__byte-unit-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX057","trophy-case__executable-memory-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX058","trophy-case__executable-memory-test2","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX059","trophy-case__gmath-test","并发状态迁移","状态迁移中|共享持有","否","否","是","状态失控","代码片段"
"EX060","trophy-case__qrcode-generator-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","AST"
"EX061","trophy-case__r1cs-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX062","trophy-case__r1cs-test2","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","AST"
"EX063","trophy-case__runes-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX064","trophy-case__runes-test2","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX065","trophy-case__safe-transmute-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX066","trophy-case__scriptful-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX067","trophy-case__spglib-test","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","AST"
"EX068","cases__panic_double_free","并发状态迁移","状态迁移中|共享持有","否","是","是","数据竞态","代码片段"
"EX069","cases__panic_safe_guard","并发状态迁移","状态迁移中|共享持有","否","是","是","数据竞态","接口签名"
"EX070","tests__panic_safety__insertion_sort.rs","并发状态迁移","状态迁移中|共享持有","否","否","是","状态失控","代码片段"
"EX071","tests__panic_safety__order_safe.rs","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX072","tests__panic_safety__order_safe_if.rs","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX073","tests__panic_safety__order_safe_loop.rs","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX074","tests__panic_safety__order_unsafe.rs","并发状态迁移","状态迁移中|共享持有","否","是","是","数据竞态","AST"
"EX075","tests__panic_safety__order_unsafe_loop.rs","并发状态迁移","状态迁移中|共享持有","否","是","是","数据竞态","MIR"
"EX076","tests__panic_safety__order_unsafe_transmute.rs","并发状态迁移","状态迁移中|共享持有","否","是","是","数据竞态","接口签名"
"EX077","tests__panic_safety__pointer_to_ref.rs","并发状态迁移","状态迁移中|共享持有","否","否","是","状态失控","AST"
"EX078","tests__panic_safety__vec_push_all.rs","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","接口签名"
"EX079","tests__send_sync__no_generic.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","日志"
"EX080","tests__send_sync__okay_channel.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","接口签名"
"EX081","tests__send_sync__okay_imm.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","MIR"
"EX082","tests__send_sync__okay_negative.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","接口签名"
"EX083","tests__send_sync__okay_phantom.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","日志"
"EX084","tests__send_sync__okay_ptr_like.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","代码片段"
"EX085","tests__send_sync__okay_transitive.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","日志"
"EX086","tests__send_sync__okay_where.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","接口签名"
"EX087","tests__send_sync__sync_over_send_fp.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","MIR"
"EX088","tests__send_sync__wild_channel.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","AST"
"EX089","tests__send_sync__wild_phantom.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","MIR"
"EX090","tests__send_sync__wild_send.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","代码片段"
"EX091","tests__send_sync__wild_sync.rs","构造阶段","部分初始化|发布未完成","否","是","是","数据竞态","AST"
"EX092","tests__unsafe_destructor__copy_filter.rs","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","代码片段"
"EX093","tests__unsafe_destructor__ffi.rs","跨语言调用链","已初始化|共享持有","否","否","是","状态失控","日志"
"EX094","tests__unsafe_destructor__fp1.rs","析构阶段","待析构|共享持有","否","否","是","状态失控","日志"
"EX095","tests__unsafe_destructor__normal1.rs","析构阶段","待析构|共享持有","否","否","是","状态失控","接口签名"
"EX096","tests__unsafe_destructor__normal2.rs","析构阶段","待析构|共享持有","否","否","是","状态失控","日志"
"EX097","tests__utility__generic_param_ctxts.rs","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX098","tests__utility__identify_generic_params.rs","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","AST"
"EX099","tests__utility__report_handle_macro.rs","构造阶段","部分初始化|发布未完成","否","否","是","状态失控","日志"
"EX100","tests__utility__rudra_paths_discovery.rs","并发状态迁移","状态迁移中|共享持有","否","否","是","状态失控","AST"
