"样例编号","标注者 A 初判","标注者 B 初判","是否一致","不一致原因","仲裁后最终标签","仲裁理由"
"EX001","S3","S3","是","","S3","初判一致，无需仲裁"
"EX002","S3","S3","是","","S3","初判一致，无需仲裁"
"EX003","S3","S3","是","","S3","初判一致，无需仲裁"
"EX004","S3","S3","是","","S3","初判一致，无需仲裁"
"EX005","S3","S3","是","","S3","初判一致，无需仲裁"
"EX006","S3","S3","是","","S3","初判一致，无需仲裁"
"EX007","S3","S3","是","","S3","初判一致，无需仲裁"
"EX008","S3","S3","是","","S3","初判一致，无需仲裁"
"EX009","S3","S3","是","","S3","初判一致，无需仲裁"
"EX010","S3","S3","是","","S3","初判一致，无需仲裁"
"EX011","S3","S3","是","","S3","初判一致，无需仲裁"
"EX012","S3","S3","是","","S3","初判一致，无需仲裁"
"EX013","S3","S3","是","","S3","初判一致，无需仲裁"
"EX014","S3","S3","是","","S3","初判一致，无需仲裁"
"EX015","S3","S3","是","","S3","初判一致，无需仲裁"
"EX016","S2","S2","是","","S2","初判一致，无需仲裁"
"EX017","S2","S1","否","同一样例包含次级机制信号，B 对主导机理侧重点不同","S2","以主数据表真值标签与核心证据链为准，统一归并到最终场景"
"EX018","S2","S2","是","","S2","初判一致，无需仲裁"
"EX019","S2","S2","是","","S2","初判一致，无需仲裁"
"EX020","S2","S2","是","","S2","初判一致，无需仲裁"
"EX021","S2","S2","是","","S2","初判一致，无需仲裁"
"EX022","S2","S2","是","","S2","初判一致，无需仲裁"
"EX023","S2","S2","是","","S2","初判一致，无需仲裁"
"EX024","S2","S2","是","","S2","初判一致，无需仲裁"
"EX025","S2","S2","是","","S2","初判一致，无需仲裁"
"EX026","S2","S2","是","","S2","初判一致，无需仲裁"
"EX027","S2","S2","是","","S2","初判一致，无需仲裁"
"EX028","S2","S2","是","","S2","初判一致，无需仲裁"
"EX029","S2","S2","是","","S2","初判一致，无需仲裁"
"EX030","S2","S2","是","","S2","初判一致，无需仲裁"
"EX031","S2","S2","是","","S2","初判一致，无需仲裁"
"EX032","S2","S2","是","","S2","初判一致，无需仲裁"
"EX033","S2","S2","是","","S2","初判一致，无需仲裁"
"EX034","S2","S2","是","","S2","初判一致，无需仲裁"
"EX035","S2","S2","是","","S2","初判一致，无需仲裁"
"EX036","S2","S2","是","","S2","初判一致，无需仲裁"
"EX037","S2","S2","是","","S2","初判一致，无需仲裁"
"EX038","S2","S2","是","","S2","初判一致，无需仲裁"
"EX039","S2","S2","是","","S2","初判一致，无需仲裁"
"EX040","S2","S2","是","","S2","初判一致，无需仲裁"
"EX041","S2","S2","是","","S2","初判一致，无需仲裁"
"EX042","S2","S2","是","","S2","初判一致，无需仲裁"
"EX043","S2","S2","是","","S2","初判一致，无需仲裁"
"EX044","S2","S2","是","","S2","初判一致，无需仲裁"
"EX045","S1","S1","是","","S1","初判一致，无需仲裁"
"EX046","S4","S4","是","","S4","初判一致，无需仲裁"
"EX047","S4","S4","是","","S4","初判一致，无需仲裁"
"EX048","S4","S4","是","","S4","初判一致，无需仲裁"
"EX049","S4","S4","是","","S4","初判一致，无需仲裁"
"EX050","S4","S4","是","","S4","初判一致，无需仲裁"
"EX051","S2","S2","是","","S2","初判一致，无需仲裁"
"EX052","S2","S2","是","","S2","初判一致，无需仲裁"
"EX053","S2","S2","是","","S2","初判一致，无需仲裁"
"EX054","S2","S2","是","","S2","初判一致，无需仲裁"
"EX055","S2","S2","是","","S2","初判一致，无需仲裁"
"EX056","S2","S2","是","","S2","初判一致，无需仲裁"
"EX057","S2","S2","是","","S2","初判一致，无需仲裁"
"EX058","S2","S1","否","同一样例包含次级机制信号，B 对主导机理侧重点不同","S2","以主数据表真值标签与核心证据链为准，统一归并到最终场景"
"EX059","S4","S4","是","","S4","初判一致，无需仲裁"
"EX060","S2","S2","是","","S2","初判一致，无需仲裁"
"EX061","S2","S2","是","","S2","初判一致，无需仲裁"
"EX062","S2","S2","是","","S2","初判一致，无需仲裁"
"EX063","S2","S2","是","","S2","初判一致，无需仲裁"
"EX064","S2","S2","是","","S2","初判一致，无需仲裁"
"EX065","S2","S2","是","","S2","初判一致，无需仲裁"
"EX066","S2","S2","是","","S2","初判一致，无需仲裁"
"EX067","S2","S2","是","","S2","初判一致，无需仲裁"
"EX068","S4","S4","是","","S4","初判一致，无需仲裁"
"EX069","S4","S4","是","","S4","初判一致，无需仲裁"
"EX070","S4","S4","是","","S4","初判一致，无需仲裁"
"EX071","S2","S2","是","","S2","初判一致，无需仲裁"
"EX072","S2","S2","是","","S2","初判一致，无需仲裁"
"EX073","S2","S2","是","","S2","初判一致，无需仲裁"
"EX074","S4","S4","是","","S4","初判一致，无需仲裁"
"EX075","S4","S4","是","","S4","初判一致，无需仲裁"
"EX076","S4","S4","是","","S4","初判一致，无需仲裁"
"EX077","S4","S4","是","","S4","初判一致，无需仲裁"
"EX078","S2","S2","是","","S2","初判一致，无需仲裁"
"EX079","S2","S2","是","","S2","初判一致，无需仲裁"
"EX080","S2","S2","是","","S2","初判一致，无需仲裁"
"EX081","S2","S2","是","","S2","初判一致，无需仲裁"
"EX082","S2","S2","是","","S2","初判一致，无需仲裁"
"EX083","S2","S2","是","","S2","初判一致，无需仲裁"
"EX084","S2","S2","是","","S2","初判一致，无需仲裁"
"EX085","S2","S2","是","","S2","初判一致，无需仲裁"
"EX086","S2","S2","是","","S2","初判一致，无需仲裁"
"EX087","S2","S2","是","","S2","初判一致，无需仲裁"
"EX088","S2","S2","是","","S2","初判一致，无需仲裁"
"EX089","S2","S2","是","","S2","初判一致，无需仲裁"
"EX090","S2","S2","是","","S2","初判一致，无需仲裁"
"EX091","S2","S1","否","同一样例包含次级机制信号，B 对主导机理侧重点不同","S2","以主数据表真值标签与核心证据链为准，统一归并到最终场景"
"EX092","S2","S2","是","","S2","初判一致，无需仲裁"
"EX093","S3","S3","是","","S3","初判一致，无需仲裁"
"EX094","S1","S1","是","","S1","初判一致，无需仲裁"
"EX095","S1","S1","是","","S1","初判一致，无需仲裁"
"EX096","S1","S1","是","","S1","初判一致，无需仲裁"
"EX097","S2","S2","是","","S2","初判一致，无需仲裁"
"EX098","S2","S2","是","","S2","初判一致，无需仲裁"
"EX099","S2","S2","是","","S2","初判一致，无需仲裁"
"EX100","S4","S4","是","","S4","初判一致，无需仲裁"
