"样例编号","样例文件名","来源仓库/来源类别","是否为最小化重构样例","对应场景真值标签（S1/S2/S3/S4）","主导机理说明","表层后果说明","备注"
"EX001","examples__c-in-rust-doublefree","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","Double Free","ffi_or_cross_lang_interface"
"EX002","examples__c-in-rust-memleak","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","资源泄漏","ffi_or_cross_lang_interface"
"EX003","examples__c-in-rust-uaf","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","Use-After-Free","ffi_or_cross_lang_interface"
"EX004","examples__cstring-test","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","状态失控","ffi_or_cross_lang_interface"
"EX005","examples__ffi-simplest","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","状态失控","ffi_or_cross_lang_interface"
"EX006","examples__function-pointer-test","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","状态失控","ffi_or_cross_lang_interface"
"EX007","examples__mix-box-free","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","状态失控","ffi_or_cross_lang_interface"
"EX008","examples__mix-mem-allocator","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","状态失控","ffi_or_cross_lang_interface"
"EX009","examples__rc-test","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","状态失控","ffi_or_cross_lang_interface"
"EX010","examples__return-value-test","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","状态失控","ffi_or_cross_lang_interface"
"EX011","examples__rust-in-c-uaf","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","Use-After-Free","ffi_or_cross_lang_interface"
"EX012","examples__rust-uaf-df","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","Double Free","ffi_or_cross_lang_interface"
"EX013","examples__side-effects-test","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","状态失控","ffi_or_cross_lang_interface"
"EX014","examples__string-test","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","状态失控","ffi_or_cross_lang_interface"
"EX015","examples__vec-test","rust-fuzz/trophy-case","是","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","状态失控","ffi_or_cross_lang_interface"
"EX016","tests__safe-bugs__division-by-zero","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX017","tests__safe-bugs__incorrect-boundary-check","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX018","tests__safe-bugs__incorrect-cast","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX019","tests__safe-bugs__integer-overflow","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX020","tests__safe-bugs__out-of-bound-index","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX021","tests__safe-bugs__unreachable","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX022","tests__unit-tests__alloc-test","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX023","tests__unit-tests__annotation","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX024","tests__unit-tests__arith","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX025","tests__unit-tests__array","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX026","tests__unit-tests__assignment","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX027","tests__unit-tests__big-loop","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX028","tests__unit-tests__cast","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX029","tests__unit-tests__crate-bin-test","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX030","tests__unit-tests__crate-lib-test","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX031","tests__unit-tests__empty","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX032","tests__unit-tests__enum-test","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX033","tests__unit-tests__function-call","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX034","tests__unit-tests__index","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX035","tests__unit-tests__input-type","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX036","tests__unit-tests__iterator","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX037","tests__unit-tests__loop-test","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX038","tests__unit-tests__method-test","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX039","tests__unit-tests__negation","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX040","tests__unit-tests__recursion","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX041","tests__unit-tests__size-of","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX042","tests__unit-tests__struct-test","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX043","tests__unit-tests__vector","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX044","tests__unit-tests__widen-narrow","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX045","tests__unsafe-bugs__double-free","本地测试样例集","否","S1","异常直接介入 Drop 路径并打断清理链，导致析构语义与资源终结次序失配","Double Free","drop_destructor_path"
"EX046","tests__unsafe-bugs__gmath","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","状态失控","default_single_thread_resource_state_path"
"EX047","tests__unsafe-bugs__offset","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","状态失控","default_single_thread_resource_state_path"
"EX048","tests__unsafe-bugs__spglib-rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","状态失控","default_single_thread_resource_state_path"
"EX049","tests__unsafe-bugs__use-after-free(CVE-2019-15551)","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","Use-After-Free","default_single_thread_resource_state_path"
"EX050","tests__unsafe-bugs__use-after-free(CVE-2019-16140)","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","Use-After-Free","default_single_thread_resource_state_path"
"EX051","trophy-case__bitvec-test","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX052","trophy-case__brotli-test","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX053","trophy-case__brotli-test2","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX054","trophy-case__brotli-test3","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX055","trophy-case__bytemuck-test","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX056","trophy-case__byte-unit-test","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX057","trophy-case__executable-memory-test","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX058","trophy-case__executable-memory-test2","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX059","trophy-case__gmath-test","其他样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","状态失控","default_single_thread_resource_state_path"
"EX060","trophy-case__qrcode-generator-test","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX061","trophy-case__r1cs-test","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX062","trophy-case__r1cs-test2","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX063","trophy-case__runes-test","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX064","trophy-case__runes-test2","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX065","trophy-case__safe-transmute-test","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX066","trophy-case__scriptful-test","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX067","trophy-case__spglib-test","其他样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX068","cases__panic_double_free","其他样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","数据竞态","concurrency_or_manual_panic_safety_path"
"EX069","cases__panic_safe_guard","其他样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","数据竞态","concurrency_or_manual_panic_safety_path"
"EX070","tests__panic_safety__insertion_sort.rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","状态失控","default_single_thread_resource_state_path"
"EX071","tests__panic_safety__order_safe.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX072","tests__panic_safety__order_safe_if.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX073","tests__panic_safety__order_safe_loop.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX074","tests__panic_safety__order_unsafe.rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","数据竞态","concurrency_or_manual_panic_safety_path"
"EX075","tests__panic_safety__order_unsafe_loop.rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","数据竞态","concurrency_or_manual_panic_safety_path"
"EX076","tests__panic_safety__order_unsafe_transmute.rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","数据竞态","concurrency_or_manual_panic_safety_path"
"EX077","tests__panic_safety__pointer_to_ref.rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","状态失控","default_single_thread_resource_state_path"
"EX078","tests__panic_safety__vec_push_all.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX079","tests__send_sync__no_generic.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX080","tests__send_sync__okay_channel.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX081","tests__send_sync__okay_imm.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX082","tests__send_sync__okay_negative.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX083","tests__send_sync__okay_phantom.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX084","tests__send_sync__okay_ptr_like.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX085","tests__send_sync__okay_transitive.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX086","tests__send_sync__okay_where.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX087","tests__send_sync__sync_over_send_fp.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX088","tests__send_sync__wild_channel.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX089","tests__send_sync__wild_phantom.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX090","tests__send_sync__wild_send.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX091","tests__send_sync__wild_sync.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","数据竞态","concurrency_or_manual_panic_safety_path"
"EX092","tests__unsafe_destructor__copy_filter.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","drop_destructor_path"
"EX093","tests__unsafe_destructor__ffi.rs","本地测试样例集","否","S3","异常或错误处理跨越 FFI/ABI 边界，造成所有权契约与释放责任不一致","状态失控","drop_destructor_path"
"EX094","tests__unsafe_destructor__fp1.rs","本地测试样例集","否","S1","异常直接介入 Drop 路径并打断清理链，导致析构语义与资源终结次序失配","状态失控","drop_destructor_path"
"EX095","tests__unsafe_destructor__normal1.rs","本地测试样例集","否","S1","异常直接介入 Drop 路径并打断清理链，导致析构语义与资源终结次序失配","状态失控","drop_destructor_path"
"EX096","tests__unsafe_destructor__normal2.rs","本地测试样例集","否","S1","异常直接介入 Drop 路径并打断清理链，导致析构语义与资源终结次序失配","状态失控","drop_destructor_path"
"EX097","tests__utility__generic_param_ctxts.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX098","tests__utility__identify_generic_params.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX099","tests__utility__report_handle_macro.rs","本地测试样例集","否","S2","对象处于部分初始化窗口时逻辑状态已发布，物理对象尚未完成写入","状态失控","default_single_thread_resource_state_path"
"EX100","tests__utility__rudra_paths_discovery.rs","本地测试样例集","否","S4","异常打断并发状态迁移，导致共享状态停留在未闭合中间态","状态失控","default_single_thread_resource_state_path"
