run_id,timestamp_utc,seed,sample_size,sample_scope,case_id,scenario,fault_type,selection_order,selection_order_in_scenario,case_path,case_kind,panic_strategy,supported_on_host,executed,success,triggered,panic_detected,memory_error_detected,build_failed,timeout,exit_code,exit_code_hex,termination_signal,termination_kind,duration_sec,log_path,error_reason,platform,python_version,cargo_path,cargo_target,cargo_linker
tests__safe-bugs__out-of-bound-index_abort,2026-03-27T14:41:58+00:00,42,20,runnable,tests__safe-bugs__out-of-bound-index,S2,bounds_error,10,9,testcases/tests__safe-bugs__out-of-bound-index,cargo_bin,abort,True,True,False,True,True,False,False,False,3221226505,0xC0000409,,panic_abort,1.0927,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__safe-bugs__out-of-bound-index_abort.log,panic_abort,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
trophy-case__executable-memory-test_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,trophy-case__executable-memory-test,S2,trophy_case,11,10,testcases/trophy-case__executable-memory-test,cargo_bin,unwind,True,True,False,True,True,False,False,False,101,0x00000065,,panic_unwind,0.060335,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\trophy-case__executable-memory-test_unwind.log,panic_unwind,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
trophy-case__executable-memory-test_abort,2026-03-27T14:41:58+00:00,42,20,runnable,trophy-case__executable-memory-test,S2,trophy_case,11,10,testcases/trophy-case__executable-memory-test,cargo_bin,abort,True,True,False,True,True,False,False,False,3221226505,0xC0000409,,panic_abort,1.091332,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\trophy-case__executable-memory-test_abort.log,panic_abort,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__recursion_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__recursion,S2,unit_test,12,11,testcases/tests__unit-tests__recursion,cargo_bin,unwind,True,True,True,False,False,False,False,False,0,0x00000000,,success,0.049196,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__recursion_unwind.log,,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__recursion_abort,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__recursion,S2,unit_test,12,11,testcases/tests__unit-tests__recursion,cargo_bin,abort,True,True,True,False,False,False,False,False,0,0x00000000,,success,0.045565,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__recursion_abort.log,,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__big-loop_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__big-loop,S2,unit_test,13,12,testcases/tests__unit-tests__big-loop,cargo_bin,unwind,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.096214,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__big-loop_unwind.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unit-tests__big-loop_abort,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unit-tests__big-loop,S2,unit_test,13,12,testcases/tests__unit-tests__big-loop,cargo_bin,abort,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.097106,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unit-tests__big-loop_abort.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
trophy-case__brotli-test2_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,trophy-case__brotli-test2,S2,trophy_case,14,13,testcases/trophy-case__brotli-test2,cargo_bin,unwind,True,True,False,True,True,False,False,False,101,0x00000065,,panic_unwind,0.055624,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\trophy-case__brotli-test2_unwind.log,panic_unwind,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
trophy-case__brotli-test2_abort,2026-03-27T14:41:58+00:00,42,20,runnable,trophy-case__brotli-test2,S2,trophy_case,14,13,testcases/trophy-case__brotli-test2,cargo_bin,abort,True,True,False,True,True,False,False,False,3221226505,0xC0000409,,panic_abort,1.067824,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\trophy-case__brotli-test2_abort.log,panic_abort,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
examples__string-test_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,examples__string-test,S3,ffi_example,15,1,testcases/examples__string-test,cargo_bin,unwind,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.136136,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\examples__string-test_unwind.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
examples__string-test_abort,2026-03-27T14:41:58+00:00,42,20,runnable,examples__string-test,S3,ffi_example,15,1,testcases/examples__string-test,cargo_bin,abort,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.125697,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\examples__string-test_abort.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
examples__rc-test_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,examples__rc-test,S3,ffi_example,16,2,testcases/examples__rc-test,cargo_bin,unwind,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.119399,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\examples__rc-test_unwind.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
examples__rc-test_abort,2026-03-27T14:41:58+00:00,42,20,runnable,examples__rc-test,S3,ffi_example,16,2,testcases/examples__rc-test,cargo_bin,abort,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.121855,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\examples__rc-test_abort.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
examples__mix-box-free_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,examples__mix-box-free,S3,ffi_example,17,3,testcases/examples__mix-box-free,cargo_bin,unwind,True,True,False,True,False,True,False,False,3221226356,0xC0000374,,heap_corruption,1.077647,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\examples__mix-box-free_unwind.log,heap_corruption,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
examples__mix-box-free_abort,2026-03-27T14:41:58+00:00,42,20,runnable,examples__mix-box-free,S3,ffi_example,17,3,testcases/examples__mix-box-free,cargo_bin,abort,True,True,False,True,False,True,False,False,3221226356,0xC0000374,,heap_corruption,1.140481,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\examples__mix-box-free_abort.log,heap_corruption,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
examples__c-in-rust-uaf_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,examples__c-in-rust-uaf,S3,use_after_free,18,4,testcases/examples__c-in-rust-uaf,cargo_bin,unwind,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.133543,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\examples__c-in-rust-uaf_unwind.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
examples__c-in-rust-uaf_abort,2026-03-27T14:41:58+00:00,42,20,runnable,examples__c-in-rust-uaf,S3,use_after_free,18,4,testcases/examples__c-in-rust-uaf,cargo_bin,abort,True,True,False,False,False,False,True,False,101,0x00000065,,build_failed,0.123345,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\examples__c-in-rust-uaf_abort.log,build_failed,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
trophy-case__gmath-test_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,trophy-case__gmath-test,S4,trophy_case,19,1,testcases/trophy-case__gmath-test,cargo_bin,unwind,True,True,False,True,False,True,False,False,3221225477,0xC0000005,,access_violation,1.067362,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\trophy-case__gmath-test_unwind.log,access_violation,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
trophy-case__gmath-test_abort,2026-03-27T14:41:58+00:00,42,20,runnable,trophy-case__gmath-test,S4,trophy_case,19,1,testcases/trophy-case__gmath-test,cargo_bin,abort,True,True,False,True,False,True,False,False,3221225477,0xC0000005,,access_violation,1.084416,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\trophy-case__gmath-test_abort.log,access_violation,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unsafe-bugs__offset_unwind,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unsafe-bugs__offset,S4,unsafe_bug,20,2,testcases/tests__unsafe-bugs__offset,cargo_bin,unwind,True,True,True,False,False,False,False,False,0,0x00000000,,success,0.043936,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unsafe-bugs__offset_unwind.log,,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
tests__unsafe-bugs__offset_abort,2026-03-27T14:41:58+00:00,42,20,runnable,tests__unsafe-bugs__offset,S4,unsafe_bug,20,2,testcases/tests__unsafe-bugs__offset,cargo_bin,abort,True,True,True,False,False,False,False,False,0,0x00000000,,success,0.043627,C:\Users\ASUS\data\毕业论文\paper_rustSec\results\ablation_logs\tests__unsafe-bugs__offset_abort.log,,Windows-11-10.0.26200-SP0,3.14.2,C:\Users\ASUS\.cargo\bin\cargo.exe,x86_64-pc-windows-gnullvm,C:\Users\ASUS\AppData\Local\Microsoft\WinGet\Packages\MartinStorsjo.LLVM-MinGW.MSVCRT_Microsoft.Winget.Source_8wekyb3d8bbwe\llvm-mingw-20260324-msvcrt-x86_64\bin\x86_64-w64-mingw32-clang.exe
