"case_name","tool"
"ffichecker__examples__c-in-rust-doublefree","ffichecker"
"ffichecker__examples__c-in-rust-memleak","ffichecker"
"ffichecker__examples__c-in-rust-uaf","ffichecker"
"ffichecker__examples__cstring-test","ffichecker"
"ffichecker__examples__ffi-simplest","ffichecker"
"ffichecker__examples__function-pointer-test","ffichecker"
"ffichecker__examples__mix-box-free","ffichecker"
"ffichecker__examples__mix-mem-allocator","ffichecker"
"ffichecker__examples__rc-test","ffichecker"
"ffichecker__examples__return-value-test","ffichecker"
"ffichecker__examples__rust-in-c-uaf","ffichecker"
"ffichecker__examples__rust-uaf-df","ffichecker"
"ffichecker__examples__side-effects-test","ffichecker"
"ffichecker__examples__string-test","ffichecker"
"ffichecker__examples__vec-test","ffichecker"
"ffichecker__trophy-case__README.md","ffichecker"
"mirchecker__tests__safe-bugs__division-by-zero","mirchecker"
"mirchecker__tests__safe-bugs__incorrect-boundary-check","mirchecker"
"mirchecker__tests__safe-bugs__incorrect-cast","mirchecker"
"mirchecker__tests__safe-bugs__integer-overflow","mirchecker"
"mirchecker__tests__safe-bugs__out-of-bound-index","mirchecker"
"mirchecker__tests__safe-bugs__unreachable","mirchecker"
"mirchecker__tests__unit-tests__alloc-test","mirchecker"
"mirchecker__tests__unit-tests__annotation","mirchecker"
"mirchecker__tests__unit-tests__arith","mirchecker"
"mirchecker__tests__unit-tests__array","mirchecker"
"mirchecker__tests__unit-tests__assignment","mirchecker"
"mirchecker__tests__unit-tests__big-loop","mirchecker"
"mirchecker__tests__unit-tests__cast","mirchecker"
"mirchecker__tests__unit-tests__crate-bin-test","mirchecker"
"mirchecker__tests__unit-tests__crate-lib-test","mirchecker"
"mirchecker__tests__unit-tests__empty","mirchecker"
"mirchecker__tests__unit-tests__enum-test","mirchecker"
"mirchecker__tests__unit-tests__function-call","mirchecker"
"mirchecker__tests__unit-tests__index","mirchecker"
"mirchecker__tests__unit-tests__input-type","mirchecker"
"mirchecker__tests__unit-tests__iterator","mirchecker"
"mirchecker__tests__unit-tests__loop-test","mirchecker"
"mirchecker__tests__unit-tests__method-test","mirchecker"
"mirchecker__tests__unit-tests__negation","mirchecker"
"mirchecker__tests__unit-tests__recursion","mirchecker"
"mirchecker__tests__unit-tests__size-of","mirchecker"
"mirchecker__tests__unit-tests__struct-test","mirchecker"
"mirchecker__tests__unit-tests__vector","mirchecker"
"mirchecker__tests__unit-tests__widen-narrow","mirchecker"
"mirchecker__tests__unsafe-bugs__double-free","mirchecker"
"mirchecker__tests__unsafe-bugs__gmath","mirchecker"
"mirchecker__tests__unsafe-bugs__offset","mirchecker"
"mirchecker__tests__unsafe-bugs__spglib-rs","mirchecker"
"mirchecker__tests__unsafe-bugs__use-after-free(CVE-2019-15551)","mirchecker"
"mirchecker__tests__unsafe-bugs__use-after-free(CVE-2019-16140)","mirchecker"
"mirchecker__trophy-case__bitvec-test","mirchecker"
"mirchecker__trophy-case__brotli-test","mirchecker"
"mirchecker__trophy-case__brotli-test2","mirchecker"
"mirchecker__trophy-case__brotli-test3","mirchecker"
"mirchecker__trophy-case__bytemuck-test","mirchecker"
"mirchecker__trophy-case__byte-unit-test","mirchecker"
"mirchecker__trophy-case__executable-memory-test","mirchecker"
"mirchecker__trophy-case__executable-memory-test2","mirchecker"
"mirchecker__trophy-case__gmath-test","mirchecker"
"mirchecker__trophy-case__qrcode-generator-test","mirchecker"
"mirchecker__trophy-case__r1cs-test","mirchecker"
"mirchecker__trophy-case__r1cs-test2","mirchecker"
"mirchecker__trophy-case__runes-test","mirchecker"
"mirchecker__trophy-case__runes-test2","mirchecker"
"mirchecker__trophy-case__safe-transmute-test","mirchecker"
"mirchecker__trophy-case__scriptful-test","mirchecker"
"mirchecker__trophy-case__spglib-test","mirchecker"
"rudra__cases__panic_double_free","rudra"
"rudra__cases__panic_safe_guard","rudra"
"rudra__tests__panic_safety__insertion_sort.rs","rudra"
"rudra__tests__panic_safety__order_safe.rs","rudra"
"rudra__tests__panic_safety__order_safe_if.rs","rudra"
"rudra__tests__panic_safety__order_safe_loop.rs","rudra"
"rudra__tests__panic_safety__order_unsafe.rs","rudra"
"rudra__tests__panic_safety__order_unsafe_loop.rs","rudra"
"rudra__tests__panic_safety__order_unsafe_transmute.rs","rudra"
"rudra__tests__panic_safety__pointer_to_ref.rs","rudra"
"rudra__tests__panic_safety__vec_push_all.rs","rudra"
"rudra__tests__send_sync__no_generic.rs","rudra"
"rudra__tests__send_sync__okay_channel.rs","rudra"
"rudra__tests__send_sync__okay_imm.rs","rudra"
"rudra__tests__send_sync__okay_negative.rs","rudra"
"rudra__tests__send_sync__okay_phantom.rs","rudra"
"rudra__tests__send_sync__okay_ptr_like.rs","rudra"
"rudra__tests__send_sync__okay_transitive.rs","rudra"
"rudra__tests__send_sync__okay_where.rs","rudra"
"rudra__tests__send_sync__sync_over_send_fp.rs","rudra"
"rudra__tests__send_sync__wild_channel.rs","rudra"
"rudra__tests__send_sync__wild_phantom.rs","rudra"
"rudra__tests__send_sync__wild_send.rs","rudra"
"rudra__tests__send_sync__wild_sync.rs","rudra"
"rudra__tests__unsafe_destructor__copy_filter.rs","rudra"
"rudra__tests__unsafe_destructor__ffi.rs","rudra"
"rudra__tests__unsafe_destructor__fp1.rs","rudra"
"rudra__tests__unsafe_destructor__normal1.rs","rudra"
"rudra__tests__unsafe_destructor__normal2.rs","rudra"
"rudra__tests__utility__generic_param_ctxts.rs","rudra"
"rudra__tests__utility__identify_generic_params.rs","rudra"
"rudra__tests__utility__report_handle_macro.rs","rudra"
"rudra__tests__utility__rudra_paths_discovery.rs","rudra"
